toponym,offset,latitude,longitude
Moscow,2196,55.75,37.5
Borodino,2197,55.9061,94.9079
Moscow,2198,55.75,37.5
Smolensk,2199,54.7818,32.0401
Russia,2200,60.0,100.0
Moscow,2201,55.75,37.5
Moscow,2202,55.75,37.5
Moscow,2203,55.75,37.5
Moscow,2204,55.75,37.5
Moscow,2205,55.75,37.5
Moscow,2206,55.75,37.5
Moscow,2207,55.75,37.5
Moscow,2208,55.75,37.5
Moscow,2209,55.75,37.5
Moscow,2211,55.75,37.5
Russia,2213,60.0,100.0
Moscow,2214,55.75,37.5
Moscow,2215,55.75,37.5
Moscow,2216,55.75,37.5
Russia,2224,60.0,100.0
Moscow,2228,55.75,37.5
Moscow,2229,55.75,37.5
Moscow,2231,55.75,37.5
Moscow,2232,55.75,37.5
Moscow,2233,55.75,37.5
Naples,2235,40.83333,14.25
St. Nicholas,2237,37.53753,25.16343
Kremlin,2238,36.54725,-97.83145
Moscow,2239,55.75,37.5
Kremlin,2240,36.54725,-97.83145
Square,2242,54.21667,-6.03333
Kremlin,2243,36.54725,-97.83145
Kremlin,2244,36.54725,-97.83145
Vozdvizhenka,2246,43.89413,131.94589
Moscow,2249,55.75,37.5
Square,2250,54.21667,-6.03333
Kremlin,2252,36.54725,-97.83145
Square,2254,54.21667,-6.03333
Kremlin,2255,36.54725,-97.83145
Lubyanka,2257,50.65406,30.17013
Vozdvizhenka,2259,43.89413,131.94589
Moscow,2260,55.75,37.5
Moscow,2261,55.75,37.5
Moscow,2262,55.75,37.5
Moscow,2263,55.75,37.5
Moscow,2264,55.75,37.5
Moscow,2265,55.75,37.5
Kremlin,2266,36.54725,-97.83145
Moscow,2267,55.75,37.5
Moscow,2268,55.75,37.5
Moscow,2269,55.75,37.5
Moscow,2270,55.75,37.5
Moscow,2271,55.75,37.5
Moscow,2273,55.75,37.5
Moscow,2274,55.75,37.5
